partner,participant,gender,no_participants
TFNC,farmers,male,8
TFNC,others,male,3
TFNC,farmers,male,3
JDPM,farmers,male,24
JDPM,NGO_EAs,male,3
JDPM,farmers,male,20
JDPM,NGO_EAs,male,2
JDPM,farmers,male,17
JDPM,NGO_EAs,male,3
JDPM,NA,male,17
TFNC,farmers,male,48
FUAM,farmers,male,20
TFNC,farmers,male,16
TFNC,farmers,male,33
TFNC,farmers,male,21
TFNC,farmers,male,42
TFNC,farmers,male,56
OAU,farmers,male,27
OAU,government_staff,male,4
FUAM,farmers,male,24
Notore,farmers,male,29
Notore,government_EAs,male,2
Notore,researchers,male,1
SG2000,farmers,male,28
TFNC,farmers,male,14
MEDA,farmers,male,3
MEDA,others,male,5
FUAM,farmers,male,34
TFNC,farmers,male,31
TFNC,government_EAs,male,1
TFNC,others,male,1
FUAM,farmers,male,20
FUAM,farmers,male,18
OYSADEP,farmers,male,21
OYSADEP,government_staff,male,1
TFNC,farmers,male,7
TFNC,farmers,male,13
FUAM,farmers,male,13
TFNC,farmers,male,25
TFNC,government_staff,male,1
FUAM,farmers,male,29
FUAM,farmers,male,14
FUAM,farmers,male,28
FUAM,farmers,male,23
FUAM,farmers,male,15
Kilimo_Joint,farmers,male,11
Kilimo_Joint,government_EAs,male,2
MEDA,farmers,male,17
MEDA,farmers,male,25
TFNC,farmers,male,10
FUAM,farmers,male,14
TFNC,farmers,male,6
TFNC,farmers,male,5
OYSADEP,farmers,male,29
OYSADEP,farmers,male,18
OYSADEP,farmers,male,19
OYSADEP,farmers,male,21
MEDA,farmers,male,16
MEDA,government_EAs,male,1
TFNC,farmers,male,8
FUAM,government_EAs,male,8
FUAM,farmers,male,82
Notore,farmers,male,14
OYSCGA,farmers,male,14
FUAM,farmers,male,42
FUAM,farmers,male,39
OYSADEP,farmers,male,18
TFNC,farmers,male,7
TFNC,farmers,male,8
JDPM,farmers,male,40
JDPM,NGO_EAs,male,2
JDPM,government_EAs,male,4
SG2000,farmers,male,21
OYSADEP,farmers,male,30
OYSADEP,government_staff,male,1
JDPM,farmers,male,38
JDPM,NGO_EAs,male,4
OYSCGA,farmers,male,27
TFNC,farmers,male,19
FUAM,farmers,male,35
TFNC,farmers,male,15
TFNC,farmers,male,15
FUAM,farmers,male,23
JDPM,farmers,male,38
JDPM,NGO_EAs,male,2
Jv_biotech_enterprises_company_limited,farmers,male,61
Jv_biotech_enterprises_company_limited,government_EAs,male,15
Jv_biotech_enterprises_company_limited,NGO_EAs,male,2
Jv_biotech_enterprises_company_limited,researchers,male,1
Jv_biotech_enterprises_company_limited,others,male,24
Jv_biotech_enterprises_company_limited,private_EAs,male,7
TFNC,government_EAs,male,12
TFNC,farmers,male,4
TFNC,farmers,male,11
TFNC,farmers,male,12
JDPM,farmers,male,11
JDPM,NGO_EAs,male,2
FADAMA,farmers,male,3
TFNC,government_EAs,male,1
FUAM,government_EAs,male,24
FUAM,farmers,male,21
OYSADEP,farmers,male,19
OYSADEP,government_staff,male,1
FUAM,farmers,male,30
OYSADEP,farmers,male,21
FUAM,farmers,male,11
MEDA,farmers,male,24
FUAM,farmers,male,18
JDPM,farmers,male,11
MEDA,farmers,male,32
FUAM,farmers,male,63
FUAM,farmers,male,11
FUAM,farmers,male,8
FUAM,others,male,2
FUAM,farmers,male,14
OYSADEP,farmers,male,22
OYSADEP,farmers,male,15
OYSADEP,farmers,male,18
MEDA,farmers,male,40
MEDA,government_EAs,male,2
MEDA,NGO_EAs,male,1
OYSADEP,farmers,male,26
OYSADEP,farmers,male,15
MEDA,farmers,male,87
MEDA,government_EAs,male,1
MEDA,government_staff,male,1
MEDA,farmers,male,87
MEDA,government_EAs,male,1
MEDA,NGO_EAs,male,1
OYSADEP,farmers,male,37
OYSADEP,farmers,male,20
MEDA,farmers,male,80
MEDA,government_EAs,male,1
MEDA,government_staff,male,1
MEDA,farmers,male,68
MEDA,government_EAs,male,37
MEDA,government_staff,male,1
MEDA,farmers,male,80
MEDA,government_EAs,male,0
MEDA,government_staff,male,1
MEDA,researchers,male,0
OYSADEP,farmers,male,44
JDPM,farmers,male,12
JDPM,NGO_EAs,male,0
JDPM,NA,male,3
JDPM,NA,male,0
Kigoma_Region_ENABEL,farmers,male,7
JDPM,farmers,male,35
JDPM,NGO_EAs,male,3
JDPM,farmers,male,18
JDPM,NGO_EAs,male,3
OYSADEP,farmers,male,24
OYSADEP,government_staff,male,1
FUAM,farmers,male,19
FUAM,farmers,male,7
FUAM,others,male,1
OYSADEP,farmers,male,41
JDPM,farmers,male,6
JDPM,farmers,male,13
JDPM,farmers,male,18
OYSADEP,farmers,male,9
MEDA,farmers,male,26
OYSADEP,farmers,male,14
FUAM,farmers,male,23
TFNC,farmers,male,23
TFNC,government_EAs,male,0
TFNC,others,male,2
TFNC,government_staff,male,12
OYSADEP,farmers,male,12
OYSADEP,government_EAs,male,3
OYSADEP,government_staff,male,3
JDPM,farmers,male,34
JDPM,NGO_EAs,male,2
JDPM,NGO_staff,male,2
CAVAII,farmers,male,26
SG2000,farmers,male,8
SG2000,government_EAs,male,1
CAVAII,farmers,male,25
OYSADEP,farmers,male,8
OYSADEP,government_staff,male,1
MEDA,farmers,male,19
FUAM,farmers,male,30
FUAM,farmers,male,4
FUAM,farmers,male,38
FUAM,farmers,male,20
FUAM,farmers,male,17
FUAM,farmers,male,40
MEDA,farmers,male,47
FUAM,farmers,male,38
JDPM,farmers,male,15
JDPM,NGO_EAs,male,2
OYSADEP,farmers,male,17
OYSADEP,government_staff,male,1
MEDA,farmers,male,22
FUAM,farmers,male,32
FUAM,farmers,male,10
FUAM,farmers,male,15
JDPM,farmers,male,16
JDPM,farmers,male,37
JDPM,farmers,male,17
JDPM,farmers,male,12
TFNC,farmers,male,4
TFNC,NGO_staff,male,1
TFNC,farmers,male,6
TFNC,farmers,male,3
MEDA,farmers,male,21
TFNC,farmers,male,10
TFNC,farmers,male,4
TFNC,farmers,male,7
TFNC,government_staff,male,2
TFNC,farmers,male,2
TFNC,farmers,male,5
TFNC,NGO_EAs,male,1
TFNC,farmers,male,2
TFNC,government_EAs,male,1
TFNC,farmers,male,10
TFNC,farmers,male,3
TFNC,farmers,male,6
TFNC,government_EAs,male,2
FUAM,farmers,male,80
MEDA,farmers,male,18
FUAM,farmers,male,25
FUAM,farmers,male,1
FUAM,farmers,male,14
FUAM,farmers,male,50
TFNC,farmers,male,19
TFNC,government_EAs,male,0
JDPM,farmers,male,17
JDPM,NGO_EAs,male,3
JDPM,farmers,male,24
JDPM,NGO_EAs,male,3
TFNC,farmers,male,4
TFNC,farmers,male,4
TFNC,farmers,male,7
MEDA,farmers,male,20
TFNC,farmers,male,4
TFNC,farmers,male,21
TFNC,farmers,male,18
TFNC,farmers,male,9
TFNC,farmers,male,15
TFNC,farmers,male,21
TFNC,farmers,male,12
TFNC,farmers,male,20
OYSADEP,farmers,male,24
OYSADEP,farmers,male,15
FADAMA,farmers,male,12
IITA,researchers,male,3
IITA,farmers,male,12
IITA,government_EAs,male,1
FUAM,farmers,male,32
FUAM,government_EAs,male,1
FUAM,farmers,male,36
FUAM,government_EAs,male,1
FUAM,farmers,male,20
FUAM,government_EAs,male,1
FUAM,farmers,male,38
FUAM,government_EAs,male,3
FUAM,farmers,male,10
FUAM,government_EAs,male,1
FUAM,farmers,male,27
FUAM,government_EAs,male,1
OYSADEP,farmers,male,15
OYSADEP,government_staff,male,1
OYSADEP,farmers,male,24
OYSADEP,government_EAs,male,3
JDPM,farmers,male,10
JDPM,NGO_EAs,male,3
FUAM,farmers,male,17
JDPM,farmers,male,12
JDPM,farmers,male,16
Notore,farmers,male,1
Notore,NGO_EAs,male,1
OYSADEP,farmers,male,42
OAU,farmers,male,46
FUAM,farmers,male,20
Notore,farmers,male,15
JDPM,farmers,male,22
JDPM,NGO_EAs,male,2
JDPM,farmers,male,28
JDPM,NGO_EAs,male,2
JDPM,government_staff,male,1
JDPM,farmers,male,16
JDPM,government_EAs,male,1
JDPM,NGO_EAs,male,2
JDPM,NA,male,19
OYSADEP,farmers,male,19
OYSADEP,farmers,male,22
FUAM,farmers,male,14
OYSADEP,farmers,male,17
OYSADEP,NA,male,17
OYSADEP,farmers,male,29
FUAM,farmers,male,10
FUAM,farmers,male,15
IITA,private_EAs,male,25
IITA,private_staff,male,2
IITA,government_EAs,male,9
IITA,private_EAs,male,4
IITA,government_EAs,male,18
IITA,private_EAs,male,10
IITA,private_staff,male,1
IITA,researchers,male,1
OYSADEP,farmers,male,23
OYSADEP,government_staff,male,1
FUAM,farmers,male,24
OYSADEP,farmers,male,22
FUAM,farmers,male,21
FUAM,farmers,male,11
FUAM,farmers,male,17
FUAM,farmers,male,14
SG2000,farmers,male,9
SG2000,government_EAs,male,1
FUAM,farmers,male,13
OYSADEP,farmers,male,16
OYSADEP,researchers,male,1
OYSADEP,government_staff,male,1
OYSADEP,farmers,male,20
FUAM,farmers,male,22
OYSADEP,farmers,male,24
FUAM,farmers,male,26
OYSADEP,farmers,male,11
OYSADEP,farmers,male,20
OYSADEP,farmers,male,19
FUAM,farmers,male,19
OYSADEP,farmers,male,33
FUAM,farmers,male,2
FUAM,farmers,male,11
FUAM,farmers,male,5
FUAM,government_EAs,male,2
FUAM,farmers,male,5
FUAM,farmers,male,18
FUAM,farmers,male,10
FUAM,farmers,male,9
FUAM,farmers,male,19
FUAM,farmers,male,15
FUAM,farmers,male,8
OYSCGA,farmers,male,7
TFNC,farmers,male,36
TFNC,farmers,male,6
TFNC,farmers,male,5
TFNC,farmers,male,5
OYSADEP,farmers,male,23
OYSADEP,farmers,male,26
OYSADEP,government_staff,male,1
OYSADEP,farmers,male,29
TFNC,farmers,male,5
TFNC,farmers,male,10
Sengerema_District_Council,farmers,male,19
TFNC,farmers,male,8
FUAM,farmers,male,8
FUAM,farmers,male,11
FUAM,farmers,male,22
FUAM,farmers,male,14
FUAM,farmers,male,15
OYSADEP,farmers,male,24
FUAM,farmers,male,22
FUAM,farmers,male,19
TFNC,farmers,male,26
Sengerema_District_Council,farmers,male,21
TFNC,farmers,male,11
TFNC,farmers,male,4
OYSCGA,farmers,male,0
OYSADEP,farmers,male,21
OYSADEP,government_EAs,male,1
Notore,farmers,male,8
Notore,farmers,male,10
SG2000,farmers,male,14
SG2000,government_EAs,male,1
FUAM,farmers,male,28
FUAM,farmers,male,38
OYSADEP,farmers,male,74
OYSADEP,government_EAs,male,9
OYSADEP,NGO_staff,male,7
OYSADEP,government_staff,male,7
OYSADEP,researchers,male,4
OYSADEP,others,male,11
OYSADEP,private_staff,male,0
Sengerema_District_Council,farmers,male,16
FUAM,farmers,male,12
FUAM,farmers,male,42
OYSADEP,farmers,male,24
FUAM,farmers,male,15
FUAM,farmers,male,16
FUAM,farmers,male,17
OYSADEP,farmers,male,33
OYSADEP,farmers,male,14
SG2000,farmers,male,12
FUAM,farmers,male,21
Psaltry,farmers,male,25
FUAM,farmers,male,22
Sengerema_District_Council,farmers,male,18
OYSADEP,farmers,male,28
FUAM,farmers,male,10
OAU,farmers,male,16
FUAM,farmers,male,15
SG2000,farmers,male,14
SG2000,farmers,male,10
Notore,farmers,male,12
OYSADEP,farmers,male,20
OYSADEP,NA,male,20
Notore,farmers,male,17
Notore,NGO_EAs,male,2
TFNC,farmers,male,47
Sengerema_District_Council,farmers,male,26
FUAM,farmers,male,16
TFNC,farmers,male,30
TFNC,others,male,2
OYSADEP,farmers,male,11
OYSADEP,farmers,male,14
OYSADEP,government_staff,male,1
SG2000,farmers,male,12
FUAM,farmers,male,7
FUAM,farmers,male,12
OYSADEP,farmers,male,67
OYSADEP,farmers,male,29
FUAM,farmers,male,14
Sengerema_District_Council,farmers,male,23
FUAM,farmers,male,20
SG2000,farmers,male,12
SG2000,private_EAs,male,2
FUAM,farmers,male,23
FUAM,NA,male,23
FUAM,farmers,male,15
FUAM,farmers,male,12
FUAM,farmers,male,12
Notore,farmers,male,17
FUAM,farmers,male,2
FUAM,farmers,male,20
Notore,farmers,male,24
Notore,government_EAs,male,2
Notore,NGO_staff,male,1
Notore,NA,male,24
Sengerema_District_Council,farmers,male,21
SG2000,farmers,male,4
FUAM,farmers,male,16
OYSADEP,farmers,male,45
OYSADEP,farmers,male,23
JDPM,farmers,male,16
JDPM,farmers,male,8
FUAM,farmers,male,17
FUAM,farmers,male,21
FUAM,farmers,male,18
FUAM,farmers,male,22
Sengerema_District_Council,farmers,male,23
FUAM,farmers,male,15
SG2000,farmers,male,27
SG2000,government_staff,male,2
SG2000,NGO_EAs,male,1
FUAM,farmers,male,12
FUAM,farmers,male,14
FUAM,farmers,male,13
FUAM,farmers,male,14
FUAM,farmers,male,17
FUAM,farmers,male,19
FUAM,farmers,male,20
FUAM,farmers,male,18
FUAM,government_EAs,male,1
Sengerema_District_Council,farmers,male,21
FUAM,farmers,male,13
Notore,farmers,male,4
FUAM,farmers,male,17
OYSADEP,farmers,male,8
OYSADEP,farmers,male,6
OYSADEP,farmers,male,7
OYSADEP,farmers,male,9
OYSADEP,NA,male,0
OYSCGA,farmers,male,8
OYSCGA,farmers,male,5
FUAM,farmers,male,24
Sengerema_District_Council,farmers,male,26
FUAM,farmers,male,22
FUAM,farmers,male,4
OYSCGA,farmers,male,18
OYSCGA,NA,male,4
OYSCGA,farmers,male,7
FUAM,farmers,male,14
FUAM,government_EAs,male,1
OYSCGA,farmers,male,3
FUAM,farmers,male,0
OYSCGA,farmers,male,13
FUAM,farmers,male,24
FUAM,government_EAs,male,1
FUAM,farmers,male,20
Sengerema_District_Council,farmers,male,24
Sengerema_District_Council,government_EAs,male,1
FUAM,farmers,male,8
FUAM,farmers,male,15
FUAM,farmers,male,15
FUAM,farmers,male,19
FUAM,farmers,male,28
FUAM,NA,male,28
OYSCGA,farmers,male,4
OYSCGA,private_EAs,male,1
OYSADEP,farmers,male,2
SG2000,farmers,male,31
FUAM,farmers,male,38
TFNC,farmers,male,11
TFNC,government_EAs,male,0
TFNC,NA,male,0
Sengerema_District_Council,farmers,male,28
TFNC,farmers,male,19
TFNC,government_EAs,male,0
TFNC,government_staff,male,2
OYSCGA,farmers,male,2
Notore,farmers,male,13
Notore,farmers,male,6
OYSCGA,farmers,male,5
OYSCGA,government_EAs,male,6
FUAM,farmers,male,33
FUAM,farmers,male,10
FUAM,farmers,male,25
FUAM,farmers,male,14
Sengerema_District_Council,farmers,male,26
FUAM,farmers,male,29
FUAM,farmers,male,25
FUAM,farmers,male,11
FUAM,farmers,male,24
OYSCGA,farmers,male,3
FUAM,farmers,male,35
FUAM,farmers,male,13
FUAM,farmers,male,19
FUAM,farmers,male,15
OAU,farmers,male,11
OAU,government_staff,male,3
ZARI,farmers,male,6
ZARI,government_EAs,male,6
ZARI,researchers,male,5
ZARI,private_staff,male,1
ZARI,others,male,2
Sengerema_District_Council,farmers,male,17
OAU,farmers,male,16
OAU,government_staff,male,3
OYSADEP,farmers,male,17
OYSADEP,NA,male,0
FUAM,farmers,male,13
Notore,farmers,male,23
OYSADEP,farmers,male,12
OYSADEP,others,male,2
OYSADEP,farmers,male,45
OYSADEP,others,male,5
OYSADEP,farmers,male,32
OYSADEP,others,male,2
OYSADEP,farmers,male,25
FUAM,farmers,male,38
OYSADEP,farmers,male,19
OYSADEP,government_staff,male,1
Sengerema_District_Council,farmers,male,23
JDPM,farmers,male,20
JDPM,farmers,male,10
Notore,farmers,male,9
Notore,farmers,male,17
Notore,NGO_EAs,male,2
Notore,farmers,male,32
FUAM,farmers,male,12
OYSADEP,farmers,male,16
Notore,farmers,male,26
Notore,government_EAs,male,1
Notore,farmers,male,26
Notore,government_EAs,male,1
FUAM,farmers,male,6
Sengerema_District_Council,farmers,male,19
Notore,farmers,male,13
Notore,farmers,male,24
SG2000,government_EAs,male,4
SG2000,farmers,male,40
SG2000,researchers,male,1
SG2000,government_staff,male,4
OYSCGA,farmers,male,8
OYSCGA,farmers,male,5
OYSADEP,farmers,male,23
OYSADEP,government_staff,male,1
FUAM,farmers,male,9
FUAM,farmers,male,14
FUAM,farmers,male,13
IITA,government_EAs,male,7
IITA,NGO_EAs,male,2
Kigoma_Region_ENABEL,farmers,male,10
IITA,government_EAs,male,7
IITA,government_staff,male,1
SG2000,farmers,male,13
SG2000,government_staff,male,1
SG2000,private_EAs,male,0
OYSADEP,farmers,male,19
OYSADEP,farmers,male,24
OAU,farmers,male,20
OYSADEP,farmers,male,30
Notore,farmers,male,13
Notore,NA,male,0
Notore,NA,male,0
Notore,NA,male,0
FUAM,farmers,male,13
SG2000,farmers,male,13
Notore,private_EAs,male,10
Kigoma_Region_ENABEL,farmers,male,27
Notore,farmers,male,33
Notore,private_staff,male,1
TFNC,farmers,male,14
TFNC,government_EAs,male,0
FUAM,farmers,male,1
FUAM,farmers,male,14
FUAM,farmers,male,4
FUAM,farmers,male,37
FUAM,farmers,male,18
FUAM,farmers,male,36
FUAM,farmers,male,8
FUAM,farmers,male,17
Kigoma_Region_ENABEL,farmers,male,35
OYSADEP,private_staff,male,44
TFNC,farmers,male,35
OYSADEP,farmers,male,33
OYSADEP,government_EAs,male,3
OYSADEP,private_staff,male,2
OYSADEP,government_staff,male,2
OYSADEP,farmers,male,34
OYSADEP,government_EAs,male,2
OYSADEP,others,male,3
Notore,farmers,male,34
Notore,farmers,male,37
FUAM,farmers,male,8
Notore,farmers,male,14
FUAM,farmers,male,12
Notore,farmers,male,21
Kigoma_Region_ENABEL,farmers,male,25
Kigoma_Region_ENABEL,others,male,25
FUAM,farmers,male,27
Notore,farmers,male,4
CAVAII,farmers,male,17
CAVAII,others,male,23
Notore,farmers,male,37
Notore,farmers,male,15
Notore,farmers,male,16
Notore,farmers,male,29
Notore,farmers,male,13
Notore,farmers,male,12
Notore,farmers,male,3
MEDA,farmers,male,18
Notore,farmers,male,39
Notore,government_EAs,male,1
FUAM,farmers,male,51
FUAM,government_EAs,male,2
TFNC,farmers,male,3
TFNC,farmers,male,17
TFNC,government_staff,male,1
TFNC,NGO_staff,male,0
TFNC,private_staff,male,2
OYSADEP,farmers,male,19
Notore,farmers,male,42
KOLPING,farmers,male,37
KOLPING,government_EAs,male,5
KOLPING,NGO_EAs,male,1
SG2000,farmers,male,37
SG2000,government_EAs,male,5
SG2000,private_EAs,male,1
Notore,farmers,male,31
MEDA,farmers,male,13
Notore,farmers,male,41
Notore,private_staff,male,1
Notore,farmers,male,31
Notore,private_staff,male,1
Notore,farmers,male,40
Notore,farmers,male,35
Notore,farmers,male,17
Notore,farmers,male,15
CAVAII,farmers,male,34
CAVAII,private_EAs,male,2
CAVAII,private_staff,male,3
Notore,farmers,male,8
Notore,farmers,male,8
SG2000,farmers,male,32
MEDA,farmers,male,16
Notore,farmers,male,18
SG2000,farmers,male,18
SG2000,government_EAs,male,1
Notore,farmers,male,29
Notore,farmers,male,14
Notore,researchers,male,1
SAPEC_Liberia,farmers,male,30
SAPEC_Liberia,government_staff,male,39
CAVAII,farmers,male,23
CAVAII,private_EAs,male,2
SG2000,farmers,male,6
SG2000,government_EAs,male,1
Notore,farmers,male,10
Notore,private_EAs,male,2
Notore,private_staff,male,0
JDPM,farmers,male,32
JDPM,NGO_EAs,male,3
JDPM,NGO_staff,male,0
OYSADEP,farmers,male,24
FADAMA,farmers,male,19
MEDA,farmers,male,17
OYSADEP,government_staff,male,14
OYSADEP,farmers,male,12
SG2000,private_EAs,male,10
SG2000,government_EAs,male,0
Notore,farmers,male,50
CAVAII,farmers,male,7
OYSADEP,farmers,male,19
OYSADEP,government_EAs,male,1
OYSADEP,farmers,male,22
FUAM,farmers,male,17
SG2000,farmers,male,16
SG2000,government_EAs,male,3
OYSCGA,farmers,male,5
MEDA,farmers,male,21
FUAM,farmers,male,14
FUAM,NA,male,1
FUAM,NA,male,0
Notore,farmers,male,20
FUAM,farmers,male,3
OYSADEP,farmers,male,37
FUAM,farmers,male,13
SG2000,farmers,male,90
SG2000,government_EAs,male,9
SG2000,NGO_staff,male,1
SG2000,private_staff,male,1
Notore,farmers,male,41
Notore,private_staff,male,1
Notore,farmers,male,41
Notore,private_staff,male,1
CAVAII,farmers,male,5
Notore,farmers,male,22
Notore,private_staff,male,2
MEDA,farmers,male,22
Notore,farmers,male,22
Notore,private_staff,male,2
Notore,farmers,male,22
Notore,private_staff,male,2
YARA,government_EAs,male,16
Notore,farmers,male,32
Notore,farmers,male,61
Notore,private_EAs,male,4
Notore,farmers,male,19
Notore,NA,male,19
CAVAII,farmers,male,11
OYSCGA,farmers,male,27
OYSCGA,NA,male,103
SG2000,farmers,male,23
SG2000,government_EAs,male,3
SG2000,government_staff,male,0
SG2000,NGO_staff,male,7
SG2000,researchers,male,0
SG2000,others,male,9
Notore,farmers,male,30
Notore,NA,male,20
Notore,NA,male,20
MEDA,farmers,male,15
OYSCGA,farmers,male,23
OYSCGA,government_EAs,male,1
OYSCGA,farmers,male,46
SG2000,farmers,male,27
OYSADEP,farmers,male,18
OYSADEP,government_EAs,male,1
JDPM,farmers,male,68
JDPM,NGO_EAs,male,2
JDPM,NA,male,70
Notore,farmers,male,41
Notore,private_staff,male,0
OAU,farmers,male,34
OAU,others,male,0
OAU,farmers,male,24
OYSADEP,farmers,male,31
FUAM,farmers,male,12
MEDA,farmers,male,22
FUAM,farmers,male,34
FUAM,government_EAs,male,0
JDPM,government_EAs,male,1
JDPM,NGO_EAs,male,2
JDPM,NGO_staff,male,0
JDPM,others,male,40
OYSCGA,farmers,male,21
OYSCGA,farmers,male,15
FUAM,farmers,male,8
OYSCGA,farmers,male,9
SG2000,farmers,male,40
SG2000,researchers,male,2
SG2000,farmers,male,21
SG2000,government_EAs,male,3
SG2000,government_staff,male,0
FUAM,farmers,male,17
Notore,farmers,male,30
Notore,private_EAs,male,1
MEDA,farmers,male,17
SG2000,farmers,male,5
SG2000,government_EAs,male,1
OYSADEP,farmers,male,23
SG2000,farmers,male,3
SG2000,government_EAs,male,1
OYSADEP,farmers,male,0
OAU,farmers,male,14
SG2000,farmers,male,12
Notore,farmers,male,30
Notore,farmers,male,30
CAVAII,farmers,male,40
CAVAII,farmers,male,40
MEDA,farmers,male,22
JDPM,farmers,male,14
TFNC,farmers,male,19
TFNC,farmers,male,7
TFNC,farmers,male,25
TFNC,farmers,male,19
TFNC,farmers,male,9
TFNC,farmers,male,23
TFNC,farmers,male,11
TFNC,farmers,male,8
TFNC,farmers,male,16
MEDA,farmers,male,28
TFNC,farmers,male,10
JDPM,farmers,male,35
JDPM,NGO_EAs,male,3
FUAM,farmers,male,53
FUAM,others,male,1
JDPM,farmers,male,27
JDPM,NGO_EAs,male,3
OYSADEP,farmers,male,24
FUAM,farmers,male,71
FUAM,government_EAs,male,4
OYSADEP,farmers,male,28
OYSADEP,government_staff,male,1
OYSADEP,farmers,male,16
FUAM,farmers,male,26
OYSADEP,farmers,male,43
MEDA,farmers,male,17
OYSADEP,farmers,male,28
OYSADEP,government_staff,male,1
OYSADEP,farmers,male,19
OYSADEP,farmers,male,19
JDPM,farmers,male,9
JDPM,farmers,male,14
OYSADEP,government_EAs,male,7
OYSADEP,government_staff,male,19
FUAM,farmers,male,16
OYSADEP,farmers,male,8
OYSADEP,farmers,male,16
OYSADEP,NA,male,16
OYSADEP,farmers,male,63
Notore,farmers,male,16
OYSCGA,farmers,male,50
FUAM,farmers,male,18
FUAM,farmers,male,10
FUAM,others,male,1
FUAM,farmers,male,37
SG2000,farmers,male,25
JDPM,farmers,male,31
JDPM,farmers,male,18
IITA,farmers,male,12
IITA,government_EAs,male,0
IITA,researchers,male,3
IITA,farmers,male,9
IITA,government_EAs,male,1
IITA,researchers,male,3
FADAMA,farmers,male,0
IITA,farmers,male,20
IITA,government_EAs,male,1
IITA,researchers,male,3
OAU,farmers,male,55
JDPM,farmers,male,12
CAVAII,farmers,male,15
SG2000,farmers,male,27
SG2000,government_EAs,male,2
SG2000,NGO_EAs,male,0
OAU,farmers,male,22
OAU,others,male,0
FUAM,farmers,male,10
Notore,farmers,male,18
JDPM,farmers,male,27
CAVAII,farmers,male,20
CAVAII,farmers,male,10
TFNC,farmers,male,4
TFNC,others,male,8
Notore,farmers,male,30
Notore,farmers,male,29
Notore,farmers,male,30
Notore,farmers,male,13
CAVAII,farmers,male,59
CAVAII,government_EAs,male,1
CAVAII,others,male,1
OYSADEP,farmers,male,21
OYSADEP,farmers,male,26
OYSADEP,government_EAs,male,7
OYSADEP,NA,male,36
OYSADEP,NA,male,36
JDPM,farmers,male,12
OYSADEP,farmers,male,9
OYSADEP,farmers,male,12
OYSADEP,farmers,male,28
OYSADEP,farmers,male,20
OYSADEP,farmers,male,12
OYSADEP,farmers,male,17
FUAM,farmers,male,27
FUAM,others,male,4
FUAM,government_EAs,male,2
OAU,farmers,male,32
OAU,others,male,0
FUAM,farmers,male,20
FUAM,farmers,male,12
FUAM,farmers,male,42
Psaltry,farmers,male,352
Psaltry,government_EAs,male,200
Psaltry,private_EAs,male,0
Psaltry,farmers,male,150
Psaltry,farmers,male,142
Psaltry,farmers,male,137
Psaltry,farmers,male,118
SG2000,farmers,male,43
SG2000,government_EAs,male,5
SG2000,farmers,male,59
SG2000,government_EAs,male,3
SG2000,researchers,male,1
FCI,farmers,male,23
FCI,government_EAs,male,1
FCI,others,male,1
FUAM,farmers,male,29
OYSADEP,farmers,male,12
OYSADEP,government_EAs,male,1
OYSADEP,farmers,male,21
OYSADEP,private_staff,male,2
OYSADEP,farmers,male,44
SG2000,farmers,male,68
SG2000,government_EAs,male,12
SG2000,farmers,male,21
SG2000,government_EAs,male,3
SG2000,government_staff,male,1
SG2000,farmers,male,32
SG2000,government_EAs,male,3
OYSADEP,farmers,male,41
OYSADEP,government_EAs,male,1
FCI,farmers,male,10
FCI,government_EAs,male,0
FCI,others,male,1
FCI,farmers,male,26
FCI,government_EAs,male,0
FCI,others,male,0
MEDA,farmers,male,20
Notore,farmers,male,47
Notore,farmers,male,47
Notore,farmers,male,47
FUAM,farmers,male,2
FUAM,government_EAs,male,1
Notore,farmers,male,22
Notore,farmers,male,22
OYSADEP,farmers,male,7
OYSADEP,farmers,male,25
SG2000,farmers,male,10
SG2000,government_EAs,male,0
SG2000,farmers,male,10
SG2000,government_EAs,male,0
FCI,farmers,male,71
FCI,government_EAs,male,1
FCI,others,male,0
FCI,farmers,male,19
FCI,government_EAs,male,1
FCI,others,male,0
OYSADEP,government_staff,male,31
OYSADEP,government_EAs,male,11
OYSADEP,farmers,male,1
SG2000,farmers,male,6
IITA,farmers,male,8
SG2000,farmers,male,12
SG2000,government_EAs,male,0
SG2000,farmers,male,11
SG2000,government_EAs,male,0
SG2000,farmers,male,3
JDPM,farmers,male,24
JDPM,NGO_EAs,male,2
JDPM,others,male,1
CAVAII,farmers,male,10
FUAM,farmers,male,2
FUAM,NA,male,2
FUAM,farmers,male,7
FUAM,government_EAs,male,1
FUAM,farmers,male,27
FUAM,researchers,male,1
FUAM,NA,male,0
FUAM,farmers,male,2
FUAM,NA,male,2
OYSADEP,farmers,male,18
FUAM,government_EAs,male,7
FUAM,NA,male,7
Notore,farmers,male,41
Notore,farmers,male,41
Notore,farmers,male,41
Notore,NGO_EAs,male,1
Notore,farmers,male,7
Notore,farmers,male,28
Notore,private_staff,male,1
Notore,farmers,male,17
Notore,farmers,male,12
Notore,NGO_EAs,male,1
Notore,farmers,male,17
SG2000,farmers,male,16
SG2000,farmers,male,18
SG2000,farmers,male,15
SG2000,farmers,male,17
OYSCGA,farmers,male,46
OYSCGA,NA,male,46
SG2000,farmers,male,5
SG2000,farmers,male,1
SG2000,farmers,male,7
FCI,farmers,male,31
FCI,government_EAs,male,0
FCI,others,male,1
FCI,farmers,male,36
FCI,government_EAs,male,1
FCI,others,male,1
FCI,farmers,male,21
FCI,government_EAs,male,0
FCI,private_staff,male,0
